副本,任務追加進場1次	+1 extra instance entry for missions and dungeons	인던,미션 1회 추가입장
魔法賦予卷軸10個寶箱	10x Enchant Scroll Box	마법 부여 스크롤 10개 상자
擴音器10個寶箱	10x Megaphone Box	확성기 10개 상자
怪物卡片冊箱子	Monster Card Album Box	몬스터 카드첩 상자
生存獎勵魔方	Cursed Doll Cube	생존 보상 큐브
家門的榮光 1階段	Hunter's Buff - 1	가문의 영광 1단계
家門的榮光 2階段	Hunter's Buff - 2	가문의 영광 2단계
家門的榮光 3階段	Hunter's Buff - 3	가문의 영광 3단계
家門的榮光 4階段	Hunter's Buff - 4	가문의 영광 4단계
家門的榮光 5階段	Hunter's Buff - 5	가문의 영광 5단계
少女的心意	Box of Chocolates	소녀의 마음
冬季將盡	Last Winter Buff	마지막 겨울 버프
冬季鑰匙	Winter Key	겨울 열쇠
冰錐(14天)	Icicle (14 Days)	고드름(14일)
冬季企鵝活動	Last Winter	마지막 겨울 이벤트
獲得冬季企鵝活動BUFF	Receive Last Winter Buff	마지막 겨울 버프 받기
獲得冬季企鵝活動禮物	Receive Last Winter Gift	마지막 겨울 선물 받기
